lat,lon,alt_ft,delta_t_s,gs_kt,heading_deg
51.199142,7.422805,2359.7053,4.5572524,379.56247,88.61261
51.198914,7.4346857,2399.886,3.5766683,374.512,90.11011
51.199028,7.447554,2441.2898,4.76291,384.42026,91.464355
51.19946,7.460389,2483.8208,4.2513123,376.82733,90.28885
51.200096,7.4724097,2522.5354,4.8915195,377.7426,87.17432
51.200504,7.4843283,2559.782,4.7734346,374.4592,87.533875
51.20004,7.497036,2597.494,4.248158,376.60764,85.69104
51.200138,7.508964,2635.3713,5.0011444,370.36407,91.27396
51.200066,7.5198855,2671.9924,3.6791072,369.57678,92.83087
51.19961,7.530235,2708.217,3.3113327,370.46378,96.31311
51.198982,7.542452,2746.6108,3.5548809,375.15225,95.76602
51.19846,7.555272,2787.8923,4.12466,368.41513,98.599304
51.19816,7.566661,2828.6113,4.5574536,384.83188,96.13199
51.197548,7.579498,2869.5818,5.024292,377.48828,93.18872
51.19655,7.591602,2912.115,3.7010508,382.74655,93.16934
51.19594,7.603103,2954.42,5.0187683,366.15817,93.0235
51.194935,7.615738,2996.9563,4.1740346,373.70685,92.230835
51.194317,7.627836,3039.386,5.057688,378.24908,98.74338
51.19263,7.6393905,3082.4502,3.9148624,367.96835,97.54791
51.191154,7.6503296,3122.0557,3.7610033,356.66513,102.92828
51.1898,7.6607656,3161.8137,3.8844845,377.70157,108.37445
51.188015,7.671296,3202.0862,3.6902134,376.54025,110.70813
51.186672,7.6820335,3243.8394,3.995157,380.28818,117.748474
51.184467,7.6931434,3285.435,2.8358204,373.2639,115.86505
51.182407,7.70212,3326.6633,3.253398,369.6768,118.75
51.18012,7.711661,3368.7642,3.5409262,373.40915,118.331604
51.177795,7.719921,3410.9966,4.4555926,366.51913,119.57675
51.175636,7.7283535,3451.4907,4.6491284,366.53412,123.46918
51.17311,7.7362695,3489.7666,3.7930427,369.98123,128.26111
51.170944,7.7447596,3524.7166,3.220707,374.225,130.11035
51.167835,7.7519684,3555.6213,4.6533623,373.06302,129.94604
51.165554,7.760636,3583.7266,3.8615587,367.29135,130.0882
51.163235,7.7697544,3605.967,4.596183,372.14523,133.40485
51.16097,7.778788,3625.0205,4.97296,365.66132,128.92899
51.15865,7.787523,3641.4275,4.1582794,380.6143,122.79907
51.156654,7.7975082,3660.12,3.4494548,375.22217,120.31534
51.15468,7.8091054,3678.7878,5.1438823,384.3689,117.66406
51.153694,7.8201723,3701.0437,3.4424458,378.99942,109.94989
51.152805,7.831416,3727.9094,4.484161,369.2232,105.959564
51.15136,7.8426385,3755.5562,3.9152555,376.75763,99.625305
51.150402,7.8548875,3784.6182,3.941216,362.2706,98.51376
51.149303,7.8671722,3812.7722,4.017376,360.53326,98.91162
51.148148,7.8771706,3840.3503,4.181146,380.8534,100.116425
51.147186,7.8876686,3866.341,4.704192,379.49326,99.38605
51.14649,7.8997025,3890.9478,3.7831964,374.3677,104.29129
51.14522,7.912096,3913.572,4.002839,362.89343,103.3331
51.143787,7.92395,3932.4692,3.6874037,374.11105,104.82483
51.14276,7.9348564,3953.5095,4.2114024,377.83423,102.841064
51.141727,7.9475956,3973.664,3.242805,377.53616,101.52771
51.140926,7.958768,3997.5781,4.0132403,377.22745,105.63498
51.139683,7.9708033,4023.6536,3.5811589,376.87964,104.31381
51.138798,7.9811645,4052.2712,3.7002256,374.04898,99.836395
51.13756,7.9929075,4083.5723,3.7987173,377.67847,97.96939
51.136852,8.004539,4119.57,4.197681,379.05206,96.52234
51.135536,8.015408,4157.3594,4.6138225,375.98795,92.87485
51.13427,8.025531,4192.104,4.026257,370.65027,95.71481
51.133736,8.035352,4227.0146,3.731407,378.65695,98.204315
51.132954,8.044971,4257.9517,4.922924,374.98166,98.14838
51.131958,8.055168,4289.1597,3.5571947,361.56503,101.46661
51.131104,8.065219,4317.6113,3.0610995,372.09445,102.812195
51.13038,8.074846,4345.249,4.1630745,372.81027,105.91904
51.12892,8.085719,4374.3677,3.5007768,374.95023,104.06796
51.127514,8.096106,4404.5234,3.4154346,375.65347,105.29123
51.126057,8.106904,4436.0894,4.0486026,372.62866,102.878296
51.124393,8.116621,4470.376,3.9478636,375.14374,103.39148
51.123028,8.128806,4504.674,3.7994637,360.9642,104.72595
51.121807,8.139442,4536.38,3.8714917,370.00388,104.59003
51.12085,8.151344,4566.7295,4.2760625,366.30313,103.79056
51.12045,8.160937,4594.1587,3.5743928,361.02292,101.98212
51.11983,8.171747,4614.97,3.9911575,380.48727,99.61661
51.119267,8.184026,4632.863,3.616708,375.0581,95.881744
51.118793,8.195671,4648.159,4.6541443,355.54034,91.84241
51.118355,8.206298,4664.6895,3.279262,364.24286,93.48703
51.11772,8.217377,4684.342,4.2896404,366.24518,92.10144
51.11743,8.229609,4709.5674,5.468815,367.3374,94.80621
51.116207,8.241696,4737.8228,4.3679605,366.89493,93.703674
51.115704,8.252878,4768.2646,4.042501,356.51535,98.59726
51.114468,8.264519,4798.3887,3.8663158,371.1037,101.02646
51.11388,8.277185,4828.9307,4.1250377,370.266,103.925934
51.112167,8.288643,4859.8145,4.6196485,365.15802,102.563385
51.111446,8.30069,4890.378,4.5779157,375.14832,107.1369
51.110176,8.311923,4923.0825,3.0160928,364.0514,105.85736
51.10913,8.323597,4956.1914,4.2893353,378.26132,105.41739
51.108566,8.335194,4991.5513,2.973748,380.16556,103.26886
51.108025,8.346586,5031.321,3.9258,374.7618,103.02899
51.107693,8.358074,5073.7964,3.7473953,369.60284,96.25836
51.10702,8.370943,5123.2144,3.9841862,367.55624,94.85596
51.106915,8.383133,5170.383,4.138791,372.43912,92.2359
51.10717,8.396242,5218.389,4.1065717,367.8882,91.85242
51.106907,8.408319,5262.288,3.459856,374.79852,89.129395
51.106754,8.42131,5303.731,4.1625433,378.13052,91.0957
51.10625,8.434856,5339.877,3.3643737,372.0749,89.62256
51.106487,8.448178,5370.614,4.4924355,374.68268,92.15509
51.10629,8.458692,5398.1343,4.692045,377.1787,90.57553
51.105904,8.470052,5421.97,4.5447598,372.27618,90.57175
51.105453,8.480553,5443.912,4.793454,366.6008,90.979095
51.10432,8.492098,5465.8296,3.9889574,378.4901,90.96118
51.103676,8.50446,5485.795,3.557245,352.08548,94.051575
51.102795,8.516615,5508.467,4.3899503,362.22235,96.98279
51.102074,8.527119,5532.491,5.434815,373.58835,101.17142
51.101368,8.537458,5559.4746,4.8538094,371.39523,99.00394
51.100384,8.54837,5588.5854,3.410147,369.3538,99.77368
